x,y
1,11
2,14
3,20
4,26
5,35
6,47
7,59
8,75
9,91
10,110
11,132
12,154
13,180
14,206
15,235
16,267
17,300
18,334
19,371
20,411
21,451
22,495
23,539
24,586
25,635
26,687
27,740
28,795
29,852
30,910
31,971
32,1035
33,1100
34,1167
35,1236
36,1307
37,1380
38,1454
39,1532
40,1610
41,1692
42,1775
43,1859
44,1947
45,2035
46,2127
47,2220
48,2315
49,2411
50,2510
51,2611
52,2714
53,2819
54,2926
55,3036
56,3147
57,3260
58,3375
59,3492
60,3611
61,3731
62,3855
63,3980
64,4106
65,4235
66,4367
67,4500
68,4634
69,4772
70,4910
71,5051
72,5194
73,5339
74,5487
75,5636
76,5787
